Language,Japanese,Commentary
enact,成立させる,制定する. 法律を制定する
ended,終了,終了の
endit,endit,自殺する(俗語)=end it
endow,与える,に与える. を授ける
enema,浣腸剤,浣腸. 浣腸剤
enemy,敵,かたき. 敵. 敵国
enjoy,楽しむ,を楽しむ
ennui,アンニュイ,(仏語)倦怠. 退屈. 手持ちぶさた. アンニュイ
Enron,エンロン,エンロン. 米国の総合エネルギー企業. 不正経理等で2001年破産
ensue,結果として起こる,続く. あとで起こる. あとに続く. 結果として起こる
enter,入力する,に入る. を記入する
entry,エントリー,入ること. 記入(事項)
envoy,使節,大使. 外交使節. 個人の使節. (cf. ambassador)
epoch,エポック,時代. 新時代を開くできごと. 銘記すべきできごと. 新しい時代のあけぼの. 新紀元
epoxy,エポキシ樹脂,エポキシの. エポキシ樹脂の. エポキシ樹脂で接着する. エポキシ
equal,同じ,等しい. 均等な. 同等の物. に相当する. 平等の. に匹敵する. 同輩. イコール
equip,装備する,に装備する. 仕度を整える. 備え付ける
erase,消す,拭いて消す
erect,直立,直立した. 強ばった. 勃起した. 組み立てる. (cf. elect選ぶ. 選挙をする)
ERISA,ERISA,Employee Retirement Income Security Act. エリサ法. 従業員退職所得保障法
erode,むしばむ,腐食する. 侵食する. 腐る. 浸食
error,エラー,誤り
erupt,噴火する,噴出させる
essay,エッセイ,随筆
Essex,エセックス,エセックス. グレーターロンドンの東部に隣接する郡
Ester,エステル,エステル. カルボン酸エステル他の化合物
Ethan,イーサン,イーサン (人名)
Ethel,エセル,エセル. 人名. (有機化合物のエーテルは ether)
ether,エーテル,エーテル
ethic,倫理,道徳律. 倫理
ethos,エトス,(特定の民族･社会･時代･文化などの)気風. 精神. 思潮. エトス
ethyl,エチル,(化学)エチル. エチル基
evade,逃れる,巧みに逃げる. をうまく切り抜ける. (質問などを)はぐらかす. 法律の目をくぐる. 遂行を怠る
event,イベント,行事. 出来事
evert,外にめくり返す,外にめくり返す. 外翻させる. 裏返す. エバート(人名)
every,あらゆる,あらゆる. 毎～. どの～も
evict,立ち退かせる,追い立てる. 取り戻す. (法的手続きによって)立ち退かせる
evoke,呼び起こす,呼び出す. (記憶など)を呼び起こす. (感情･記憶などを)呼び起こす
exact,正確な,正確な. 的確な. 綿密な. を要求する. (税など)を搾り取る
exalt,たたえる,昇進させる. 高める. 賞賛する
excel,優る,しのぐ. 優る
exert,発揮する,及ぼす. 発揮する. 力を出す. 感化を及ぼす. 働かせる
exile,亡命,追放(する). 亡命(させる). 亡命者. 追放人. 国外追放
exist,存在する,存在する
expat,国外居住者,国外居住者
expel,追い出す,(害虫を)駆除する. 駆逐する. を追い出す. を追放する. を放出する. 発射する
extol,褒めそやす,賞賛する. ほめたたえる. 賞揚する. 激賞する
extra,余分,割増料金. 割増の. 余分の. 余計な. 特別の. 号外. 余分に. 臨時の
exude,発散する,(汗など)にじみ出る. 発散する
exult,大喜びする,歓喜する. 勝ち誇る. 大喜びする. こおどりして喜ぶ
Exuma,エグズーマ島,エグズーマ島. バハマの360以上の島々からなる地区
Exxon,エクソン,"エクソンモービル(Exxon Mobil Corporation)は,米国テキサス州を本拠地とする総合エネルギー企業 "
fable,寓話,"(féɪbl)寓話(ぐうわ). (例. Aesop's Fablesイソップ物語). 作り話. 伝説. 神話. (fairy taleは子供のための妖精,魔法などの話)"
facet,ファセット,(心･問題などの)面. 様相. (多面体･特に宝石の)小面. 彫面. 切子面. 刻面
facto,ファクト,事実上の. (de facto standard事実上の標準. ラテン語)
faint,気絶する,気絶する. 卒倒する. 弱々しい. ぼんやりした. 弱い. かすかな. 淡い. 気の弱い
faire,フェア,放任. (cf. fare料金. fair公正な. faire放任)
fairy,妖精,妖精. (俗)ホモ
faith,信仰,信頼. 信念. 信用. 信仰. 確信. 信じること
faker,的屋,ペテン師. 詐欺師. (ニセ物を売る)行商人
FALSE,偽,正しくない. 仮の. 誤っている. 嘘を言う. 不誠実な. 偽りの. にせの. 人工の. (植物名が)類似の
famed,有名な,名高い. famous
famer,殿堂入り,殿堂入り
fancy,ファンシー,空想する. 空想(力). 錯覚. 気まぐれ. 思いつき. 好み. 嗜好(しこう)
fanny,ファニー,(俗)お尻
farce,茶番,笑劇. 茶番劇. ばかげたもの
FASAB,FASAB,"The Federal Accounting Standards Advisory Board. 連邦会計基準諮問委員会,米国政府機関の会計基準を開発する諮問委員会"
Fatah,ファタ派,ファタハ. パレスチナ国家建設のため1958年にヤセル･アラファトが設立したパレスチナの政治･軍の組織
fatal,致命的な,致命的な
fatty,脂肪,脂肪質の. 油っこい. 脂肪性の. 脂肪の. デブ
fatwa,ファトゥワ,イスラム教における布告･見解
fault,障害,過失. 誤り. 欠点. 過ち. 責任. 断層
fauna,動物相,(地方または一時代の)動物群. 動物区系. 動物相
favor,好意,好意. 親切. 世話. 恩恵. 賛成する. を助ける. に好意を寄せる
feast,ごちそう,祝宴. 宴会. ご馳走. 祭日. を大いに楽しむ. もてなす. ごちそうになる. ごちそうする
fecal,糞便の,糞便の
Fedex,フェデックス,フェデックス(国際宅配業者名)
feign,装う,のふりをする. を装う. だと見せかける
feint,フェイント,見せかけ. 陽動作戦. (～する)ふり. フェイント攻撃. フェイント. 陽動. 牽制
Felix,フェリックス,フェリックス. 人名
fella,やつ,"fellow,ヤツ"
felon,重罪犯人,重罪犯人
femme,フェム,(仏語)レズの女役
femur,大腿骨,大腿骨(=thigh bone). もも. 腿節. 大腿. 大腿部
fence,フェンス,柵. 盗品買受け人. 盗品買人. 2. (野球)フェンス
feral,野生の,野生の. 野にいる. 野生化した. 野獣のような. 凶暴な
ferry,フェリー,渡し場. フェリーボート. 自力現地輸送する
fetal,胎児の,胎児の
fetch,フェッチ,取ってくる. 引出す. (物を)行って取ってくる. 取って来ること
fetid,悪臭を放つ,強い悪臭を放つ. 臭い
fetus,胎児,(妊娠3ヵ月以後の)胎児
fever,発熱,熱. 発熱
fewer,より少ない,少数の人々
fiber,繊維,繊維(質･組織). 素質. 気質. ひげ根(植物)
fibre,繊維,fiber(繊維)の英国式綴り
field,フィールド,(野球)球をさばく. 処理する
fiend,悪魔,"悪魔(=devil,daemon,Satan,fiend)"
fiery,炎のような,火の
fifth,第5,(日付の)5日. 第5. 5番目の
fifty,50,50. 50の
fight,戦い,戦う. 戦い
filch,くすねる,くすねる
filed,提出された,提出
filet,ヒレ,(仏語)ヒレ. 牛･ぶたの腰から背にかけての上等な肉
filly,雌の子馬,雌の子馬
filth,汚物,不潔なもの. 垢(あか). 汚い(卑猥な)言葉. 悪態. 堕落. 腐敗
final,最後の,最後の
finch,フィンチ,フィンチ. ヒワ. ウソの類
finer,より細かい,より細かい
fired,解雇,"解雇される,クビになる "
first,最初,最初の. (日付の)1日. 第1の. 1番目の. 初めての. まず. 最初に
firth,入り江,河口. 入り江. 湾
fishy,魚,魚臭い. いかがわしい
fitch,フィッチ,ケナガイタチ. ケナガイタチの毛で作った絵筆. ケナガイタチの毛皮. フィッチ
fiver,5ドル紙幣,5ドル(ポンド)紙幣
fives,ファイブズ,(UK英)ファイブズ(ハンドボールに似た球技)
fixed,一定,固定した. (勝負･レースなどが)不正な. 予め仕組まれている
fixer,フィクサー,定着剤. (事件の)違法もみ消し人. 仲介人. (俗)麻薬密売人
fizzy,発泡性,シューシュー泡立つ. 発泡性の
fjord,フィヨルド,"フィヨルド(= fiord). ノルウェー語で「入り江」という意味で,氷河に侵食された谷の下流部が海水に覆われたもの"
flack,フラック,不平. 批判. 異議. 苦情. (cf. frack. 高圧水で岩を砕く)
flail,殻竿,殻竿(で打つ). からざお
flair,才能,勘. 傾向. 直感. ひらめき. 第六感. 嗅覚. 識別力. 素質
flake,フレーク,薄片. 一片
flaky,フレーク状の,フレーク(薄膜)状の. はがれやすい. ひどく変わった
flame,炎,光彩. 炎. 情熱. 火炎. 光輝. 激情
flank,脇腹,側面に立つ. 横腹. 脇腹. 側面(に立つ). 側面を守る. わき腹
flare,フレア,ゆらゆら燃える. かっと怒り出す. ゆらめき. パッと燃え上がる
flash,フラッシュ,フラッシュ. ぴかっと光る. さっと通る. (考えなどが)浮かぶ. ひらめく. (cf. flush. 顔を赤らめる. 水を流す)
flask,フラスコ,フラスコ. 鋳型
fleck,斑点,(色などの)斑点. そばかす. 斑点をつける
fleet,フリート,速い. 艦隊. 海軍. 入江
flesh,肉,激励する. 肥やす. 肉. 身. 贅肉. 食用肉. 肉体. 人類. 生物. 肌. (cf. fresh. 新鮮な)
flick,フリック,軽く打つ(こと). はじき飛ばす. 軽くたたく. (pl. で)映画
flier,チラシ,ちらし. ビラ
fling,情事,放り投げる. (軍隊など)を投入する. 急に～する. 情事
flint,フリント,非常に堅い物. ライターの石
flirt,浮気者,異性に対して面白半分に気を引く
float,フロート,浮くもの. 浮かぶ. 浮く
flock,群れ,集まる. 群がる. 群れ. 大勢. 羊毛･綿などのふさ･くず
flood,洪水,おびただしい流入. 洪水. 氾濫する. 大水. 氾濫. にあふれる. に水を張る
floor,フロア,床. 底. 立会所. (床運動. floor exercise)
flora,フローラ,(一時代･一地域の)植物相(群). 植物群. 植物誌
floss,フロス,(歯間を)デンタルフロス(dental floss)で磨く(掃除する). 絹綿. 繭のけば. 繭綿
flour,小麦粉,小麦粉. 粉末
flout,侮辱,侮辱(する). 馬鹿にする
Floyd,フロイド,フロイド(人名). (精神分析学者フロイトはFreud)
fluff,綿毛,(ラシャなどの)けば. 綿毛. ふわふわしたもの
fluid,流体,変りやすい. 流動性の. 流体(の). 流動体. (cf. fluid. liquid. solid. gas)
fluke,フロック,思わぬ幸運. まぐれ当り. フロック. 2. カレイ. ヒラメ. 3. 吸虫. ジストマ
flung,投げ飛ばさ,投げ飛ばされた
flunk,落第,(米語)落第する. 単位を落とす. しくじる. 試験などに失敗する
flush,フラッシュ,ほおがぱっと赤らむ. (空が)ばら色になる. (flush the toilet. トイレに水を流す). メモリをクリアする. . a flush deck平らな甲板. (ポーカー)フラッシュ(同一組の 5 枚揃いの手)
flute,フルート,フルートを吹く. フルート(横笛)
flyer,チラシ,ビラ. チラシ. 小冊子
FMRus,FMRus,ロシアの穀物取引大手企業
foamy,泡立つ,泡だらけの. 泡の. 泡沫の. 泡立つ
focal,焦点の,焦点の
focus,フォーカス,焦点を合わせる. 集中する. 焦点
foggy,フォギー,霧がかかった. 霧の深い. 霧の多い
foist,押し付ける,(偽物など)を人につかませる. 押しつける. そっと挿入する. 偽って～の作だとする
folio,フォリオ,二つ折り判(の本)
folks,人々,人々(people のほうが一般的)
folky,folky,"フォーキー,フォークソング的な "
folly,愚かさ,愚かさ. 愚行
foray,進出,略奪を目的として侵略する. 略奪する. 不意打ち. 手出し
Forbs,Forbs,フォーブス(世界有数の経済誌)
force,力,強制する. 力. 暴力. violence. 軍隊. (cf. force軍隊･強いる. forth. 前へ. fourth4番目)
forge,築く,鍛造する. 焼きなましする. を形作る. 2. 溶鉄炉. 鍛冶工場
forgo,あきらめる,を差し控える. ～なしで済ませる. do without. をやめる
forte,フォルテ,強み. 長所. 得手. おはこ. 特長
forth,記載,前方へ. ～以後. 先へ. 外部へ. (cf. force軍隊･強いる. forth. 前へ. fourth4番目)
forty,40,40. 40の
forum,フォーラム,評議会. 大広場. フォーラム. 公開討論の場
fosse,堀,堀. 溝. 運河
found,見つかる,"を設立する,  2. findの過去･過去分詞形"
fount,泉,泉. 源泉
fours,四つんばい,四つんばい
foyer,ロビー,休憩室. ホワイエ. ロビー. 玄関の広間
frack,フラッキング,(=fracking). (シェールオイルの掘削の際)高圧水で岩を砕くこと(=hydraulic fracturing). (cf. flack批判)
frail,はかない,こわれやすい. もろい. 虚弱な. か弱い. 意志薄弱な. はかない
frame,フレーム,(計画などを)たくらむ. を罪に陥れる. 言葉を発する. 構造. (建物の)骨組み. 体格. 枠台. 組み立てる. 構成する
franc,フラン,フラン(フランスなどの通貨単位)
frank,率直な,フランク(F-人名). あからさまな. 無料送達する. 率直な. 公然の
fraud,詐欺,詐欺(行為). 欺瞞. ごまかし. 詐欺師
freak,フリーク,奇形. 変種. 気まぐれ. ～気違い(～が大好きな人). 奇人. 変人
freer,自由,自由
freon,フロン,フロン(冷媒・エアロゾールなどに用いる)
fresh,新鮮な,新鮮な. 初期. (cf. flesh. 肉)
Freud,フロイト,Sigmund Freud フロイト. 1856-オーストリア. 精神分析の創始者
friar,修道士,たくはつ僧. 修道院
fried,フライド,油で揚げた. 油焼きの. 揚げた. フライにした
frill,フリル,フリルを付ける. フリル
frisk,フリスク,はね回る. はね回り. (俗)所持品検査(服の上から触って武器を持っていないか確かめる)
frock,フロック,(frάk). 1. (農夫･労働者のゆったりした)仕事着. 2. (そでが広くすそたけの長い)修道士の服. 僧服. 3. フロック(婦人･子供用のワンピースのドレス). 4. 男性用フロックコート
frond,葉状体,葉状体. (シダ･海そうの)葉. (cf. foliage. leaf. needle. blade. frond)
front,フロント,前面. 前線
frost,霜,つや消しにする. 霜で履う. 寒気. 厳寒. 凍結. 冷淡. 冷酷. 霜
froth,泡,を泡立たせる. 泡. 泡を立てる. あわ. あぶく. を泡で覆う
frown,渋面,"顔をしかめる. 難色を示す. 眉をひそめる. しかめ面. 不満,怒りを表す"
fruit,フルーツ,くだもの
fryer,揚げ鍋,いため物を料理する人. フライ用の若鳥. フライ料理をする人. 揚げ鍋
fudge,ファッジ,ごまかす. ごまかし. 作りごと. 2. ファッジ. (砂糖･牛乳･バターでつくるキャンディーの一種)
fugue,フーガ,フーガ(イタリア語. 遁走曲と訳される)
fully,完全に,すっかり. 完全に. 全く. 十分に. まるまる
fumes,煙,煙
funky,ファンキー,悪臭のする. かびくさい. (ジャズ)ファンキーな
funny,おかしい,おかしな
Furby,ファービー人形,"ファービー人形. アメリカのTiger Electronics社が発売したおもちゃ(電子ペット,ペットロボット). 世界で爆発的に売れた"
furor,騒動,熱狂. 興奮. 大騒ぎ. 激情. 激怒. 激しい怒り(fury). 熱狂的賞賛. 熱狂的流行
furry,毛皮のような,毛皮のような. あわただしさ
fused,融合した,融合した
fussy,うるさい,気むずかしい. 凝った
fusty,古臭い,かび臭い
fuzzy,ファジー,ぼやけた. 微毛のある. けばだった. 縮れた. ファジー理論
gable,切妻,切妻
gaffe,失言,(特に社交･外交上の)失敗. へま
gaily,陽気に,陽気に
gaine,gaine,飾り台座
games,ゲーム,(学科としての)体育. 競技会. (～ master: 体育教師)
gamma,ガンマ,(第3ギリシア文字)ガンマ. Γ. γ. 第3(のもの)
gamut,全域,全領域. 全範囲. 全音階
Garbo,ガルボ,"Greta Garboグレタ･ガルボ(1905-1990),スウェーデン生まれのハリウッド女優. 35歳で引退後,隠棲生活のうちに死去"
gated,ゲーテッド,ゲートのある
Gator,ゲイター,ワニ(=alligator)
gaudy,派手な,けばけばしい. はでな
gauge,ゲージ,標準寸法. 規格. 尺度. 計器. レールの軌間(ゲージ). 判断基準. 測る(gauge the strength of the wind. 風力を測る).
gaunt,やつれた,やせた. 気味の悪い. ひょろ長い. ものすごい. 寂しい
gauze,ガーゼ,ガーゼ
gauzy,紗のような,薄織のような. 薄く透き通る
gavel,小槌,(議長･裁判官･競売人などが静粛を促すときに卓上をたたく)小槌
gazed,見つめた,見つめた
gecko,ヤモリ,ヤモリ. (banded geckos 縞模様のヤモリ)　(外見は似ているが. ヤモリは爬虫類でイモリは両生類 )
geeky,おかしな,おかしな
gelid,氷のような,氷のような. 凍るような. 極寒の. 冷淡な
genie,精霊,"童話で,人間の姿になって願い事をかなえてくれる精霊. 魔神(A devil. Satan). コーランにあり,人間や動物の形で人類に影響するとイスラム教徒に信じられている精神(=jinn)"
Genoa,ジェノア,"ジェノヴァ(伊: Genova). イタリア北西部,リグリア海に面した,ミラノ,トリノなどの都市を背後に持つイタリア最大の貿易港"
genre,ジャンル,類型. 形式. 様式. ジャンル. 風俗画(の). 特殊な技術･ストーリー･セットを使用した映画
genus,属,(動植物分類上の)属. 種類
Ghana,ガーナ,ガーナ共和国 Republic of Ghana. 西アフリカの英連邦加盟国. 南は大西洋に面す. 旧英領ゴールド･コースト. ダイヤモンド･金･カカオ･沖合油田で有名
ghost,幽霊,幽霊. 亡霊. 2. 二重映像. 影
giant,巨人,巨大な. 巨人. 巨漢. 才能･知力などを備えた人
GIBCO,GIBCO,ギブコ社. 培地の専用メーカー. 多能性幹細胞(PSC)･血清･試薬･生物製剤の等の培養用各種培地を提供
giddy,めまいがする,めまいがする. 目がくらむような
Giles,ジャイルズ,ジャイルズ(ファッションブランド名)
girly,女の子らしい,女の子らしい. (girlieは性的. 蔑称的)
girth,胴回り,取巻く. 周囲の寸法. 腹帯. 帯げた. 胴差し. 胴まわり
given,与えられた,任意の. ある. 特定の. と仮定すると. if
giver,寄贈者,与える人. 贈与者. 寄贈者
glace,グラッセ,(仏語)(革･布など)なめらかな. 砂糖をまぶした
glade,グレード,林間の空地
gland,腺,腺. パッキン押さえ
glare,グレア,ぎらぎらする光. 目だつこと. ぎらぎら光る. 睨み付ける
glass,ガラス,コップ. グラス
glaze,釉薬,ガラスをはめる. つや出し
gleam,キラリと光る,かすかに光る. 微光. かすかな光. ひらめき. (暗い中で)光る. 輝く
glean,探り出す,落ち穂を拾う. 拾い集める. 収穫する
Glenn,グレン,グレン(人名)
glide,グライド,グライダーで飛ぶ. 滑空(する). すべる(こと). すべり台. (文法)わたり
glint,グリント,きらきら光る
glitz,派手さ,けばけばしさ. 華美
gloat,ほくそ笑む,満足げに眺める. ほくそえむ. さも満足そうに眺める. ほれぼれと見る
globe,グローブ,地球儀. 球体. 天球. 球. 地球. (cf. grab掴む. gloveグラブ. globe地球. grub掘る)
gloom,暗がり,薄暗くなる. 暗がり. 薄暗がり. 陰気. 沈んだ様子
glory,栄光,繁栄. 栄光. 誇り. 壮観. 荘厳
gloss,光沢,つやを出す. 光沢. 注解. 注釈
glove,グローブ,グローブ. 手袋. (cf. grab掴む. gloveグラブ. globe地球. grub掘る)
gnash,歯ぎしり,歯ぎしり(する)
gnome,ノーム,(ギリシャ神話)ノーム(地の精). しなびた老人. 投機的銀行家
godly,信心深い,信心深い
going,行くこと,進行状態. 進行速度. 行くこと. 出発. 死去. 道路の状態. コンディション
golly,へー,(驚き･困惑などを表して)おや. まあ
goner,死に体,死者. 死に体. 落ちぶれた人. 見込みのない人
gonna,つもり,(俗)するつもりの(going to)
goods,商品,商品. 家財. 服地. 貨物. 品物
goody,グッディ,"(goodies複数形で)おいしいもの. キャンディー. 菓子. アイスクリームなど. 特別に魅力のあるもの. (間投詞. 特に子供が)すごーい! うれしい! (人名,姓)グディ"
gooey,べちゃべちゃ,ねばねばした. べたつく. くっつく
goofy,グーフィー,(俗)おろかな. まぬけな
goose,ガチョウ,ガチョウ. (人)の尻(股)をつつく
gorge,渓谷,谷間. 峡谷. 食物. に詰め込む. がつがつ食べる
gorse,ハリエニシダ,ハリエニシダ
gotta,ゴッタ,have gottenの略. 持っている･貰った等の意. スラング
gouge,えぐる,丸のみ. 丸たがね. 金の強要. ゆすり. 詐欺. だます
gourd,ヒョウタン,ヒョウタン. 瓢箪
grace,グレース,優雅. 飾る. 猶予(期間)
grade,グレード,等級. 傾斜
graft,グラフト,(骨の折れる)仕事. 挿し木. 移植する
grail,聖杯,最後の晩餐でキリストが使った聖餐杯
grain,穀物,"穀物. 種子. 粒. 少量. 1粒. グレイン. 粒にする. 木目. (ex. coarse, close grained. 木目が荒い,細かい)"
Gramm,グラム,グラム(人名). (グラム陰性菌はGram)
gramp,gramp,おじいちゃん
grand,壮大な,威厳のある. 主要な. 雄大な. 思い上がった. grand piano. 1000ドル
grant,付与,を認める. を与える. (願い)をかなえてやる. 交付. 補助金
grape,ブドウ,ブドウ. 深紫色
graph,グラフ,グラフ. 図式
grasp,把握,理解. つかむこと. を握る. を理解する. を掴む. (cf. grasp. clasp. seize. clench. grip. clutch)
grass,草,芝生. 草. 牧草. 牧草の種をまく. (俗)マリファナ. 大麻
grate,火格子,すりつぶす. 火格子. 火床. 暖炉
grave,墓,刻みつける. 2. 重大な. 厳粛な. くすんだ. 3. 墓穴. 墓所
gravy,グレービー,グレービー. うまい汁
graze,放牧する,牧草を食う. 擦れる. 放牧する. 生草を食う
great,素晴らしい,すばらしい. 重大な. (数量が)大きな
greed,欲,欲張り. 貧欲. どん欲
Greek,ギリシャ語,ギリシア人･語. ちんぷんかんぷん
green,緑色,緑の. 青々とした
greet,迎える,あいさつする. 挨拶する. 反応する. 知覚される
grief,悲しみ,悲嘆. (深い)悲しみ. 嘆きの種
grill,グリル,(n)格子. 焼き網. (v)焼く. 厳しく尋問する. 難題で苦しめる. (cf. grille自動車のグリル). (cf. grid. grill. lattice)
grime,汚れ,不潔
Grimm,グリム,"グリム兄弟(ドイツ). 1812年グリム童話集(Grimms Märchen)を編纂. ヘンゼルとグレーテル,シンデレラ,赤ずきん,ブレーメンの音楽隊,眠りの森の美女,白雪姫,かえるの王さま等"
grimy,汚れた,垢じみた
grind,グラインド,すりつぶす. こすりつける. すり減らす. つらい単調な仕事
gripe,腹痛,絶えず不平を言う. 腹痛をおこす. (俗)不平. 怒り
grist,グリスト,製粉用の穀物
grits,粗びきの穀物,n. pl. (単･複数扱い)粗挽きの穀物. 粗挽きのトウモロコシ
groan,うめき声,うめく. 唸る. うなるような音を立てる(grownと同発音). ブーブー言う. きしむ. 不満の声(をあげる). うめき声
groat,グロート,グロート. 4ペニーの価値の旧英国の銀貨. わずかな金銭. 少し
groin,鼠径部,(解剖学)鼠蹊(そけい). 腿の付け根
groom,新郎,花婿. 馬丁. 身なりを整える. 仕込む. (cf. grroming 猿などの毛づくろい). (cf. bride and groom新郎新婦)
grope,手探り,手探りで捜す. 手探りする. 手探りで探す
gross,グロス,グロース(12ダース･144個). グロス. 粗悪な. 総計の. ひどい. でぶの. 粗野な. 総計
group,グループ,グループ. 一団にする. 集める. 分派. 集団. 分類する
grove,木立,木立ち果樹園. 小森. 林
growl,うなり声,"腹立ち声でと言う. 犬がうなる. (cf. howl遠ぼえする. whineクンクンなく. yelp,yapキャンキャン吠える. growl怒って唸る. snarl歯をむき出して唸る)"
grown,成長した,成長した(する). 育てる. groan(唸る)と同発音
gruel,粥,罰する. かゆ
gruff,荒々しい,粗暴な. どら声の. しわがれ声の. 無愛想な. 態度が粗野な
grump,不機嫌,文句を言う. 不機嫌. 文句ばかり言う人. こぼし屋
grunt,イサキ,ぶつぶつ不平を言う. ぶうぶう言う声. ぶうぶう鳴く
guano,グアノ,グアノ. 鳥糞石. 人工肥料
guard,ガード,用心する. 歩哨. 見張り. 守る. 保護する. を慎む. 警戒する. 護衛者. 番人 (UK英)列車の車掌
guava,グアバ,"グアバ. 熱帯性の低木で果実は食用,飲用になる. 2. (Google Guava). Javaのプログラミングで共通して使われるライブラリをまとめたもの"
guess,推測,推測する. だと思う. 推測. 当てずっぽう
guest,ゲスト,泊まり客. 下宿人
guide,ガイド,案内人. 案内書. を案内する
guild,ギルド,同業組合. 商人団体. ギルド. 組合
guile,狡猾さ,ずるい策略. 狡猾さ. 陰険さ. 策略
guilt,罪,有罪
guise,装い,ふり. 見せかけ. 服装. 変装
gulag,強制収容所,強制収容所
gulch,渓谷,峡谷. (米語)渓谷
gully,ガリ,谷川. 峡谷. 溝. 下水
gumbo,ガンボ,オクラ. オクラ入りスープ
gummy,粘着性の,ゴムの. 粘着性の. ねばつく. ゴムの付いた. ゴム液を出す
Gupta,グプタ,"Gupta Empireグプタ朝. 古代インドで西暦320年から550年頃まで,パータリプトラを都として栄えた王朝. インド北部を統一した"
gurus,教祖,達人
gushy,感傷的な,噴出する. 感傷的な
gusto,おいしさ,おいしさ. 趣味. 好み. 嗜好. 喜び. あふれる活気
gusty,激しい,突風の吹く. 風の強い
gutsy,勇敢な,勇敢な. 元気のいい. 根性のある. 図太い
gypsy,ジプシー,"ジプシー. 一般にはヨーロッパで生活している移動型民族. 外名であり,自称ではない(cf. Roma)"
habit,習慣,習慣. 癖
HACCP,HACCP,"Hazard Analysis and Critical Control Point. ハサップ(ハセップ). 食品の製造工程上の危害を分析し,効率的に管理できる部分(CCP必須管理点)を管理する手法"
Hague,ハーグ,ハーグ(オランダの行政の中心地)(オランダの行政上の首都)
Haifa,ハイファ,ハイファ (イスラエルハイファ地区の都市)
haiku,俳句,俳句. Japanese poem of seventeen syllables
hairy,毛深い,毛むくじゃらの. 毛深い. 毛製の
Haiti,ハイチ,ハイチ共和国 Republic of Haiti
hakim,ハキーム,裁判官. 太守. 知事
Halle,ハレ,ハレ. ドイツの都市名･町村名. ベルギーの都市名. 人名(姓) (cf. ハレー彗星はHalley's comet)
hallo,ハロー,もしもし. ハロー(Hello)
halve,半減させる,等分する. 半減させる
Hamas,ハマス,ハマス(イスラーム主義を掲げるパレスチナの政党)
handy,便利,耐久力のある. 上手な. 器用な. 便利な
hanky,ハンカチ,ハンカチ
happy,幸せな,しあわせな. うれしい. glad. (cf. harpy)
hardy,ハーディ,ずうずうしい. 大胆な. 我慢強い. 丈夫な. 耐寒性の
harem,ハーレム,ハレム. ハレムの女達
harpy,ハーピー,ハーピー(顔と体が女で鳥の翼とつめを持った貪欲な怪物. ギリシア神話)
Harry,ハリー,"ハリー(男性名,Henryの愛称). 2. くり返し攻撃する. 悩ます"
harsh,厳しい,厳しい. ざらざらした. 不快な. 耳ざわりな
haste,ヘイスト,あわてること. 迅速. 急ぐこと. 性急. 軽率
hasty,性急な,早まった. 急ぎの. 軽率な. 急いだ. 迅速な
hatch,ハッチ,(ひなを)かえす. 昇降口. 孵化する. ハッチ. 床窓
hated,憎まれた,憎まれた
hater,嫌う人,ひどく嫌う人
haunt,出没する,"しばしば訪れる. 出没する. とりつかれる. 幽霊. ～の脳裏に刻み込む. (例, Haunted houseお化け屋敷)"
haute,高級な,高級な
haven,避難所,(避難)港. 停泊所. 安息所. 避難所
haver,所有者,くだらない話. 戯言. 持っている人. 所有者. 野生のオート麦. くだらないおしゃべりをする. ぐずぐずする. 戯言を言う. 躊躇する
haves,富裕層,富裕層
havoc,大混乱,(自然などの)大破壊. 大混乱
Haydn,ハイドン,"フランツ･ヨーゼフ･ハイドン(Franz Joseph Haydn. 1732年生. オーストリア. 交響曲の父. ベートーヴェンやモーツァルトに影響を与えた「神よ,皇帝フランツを守り給え」はドイツの国歌"
hazel,ハシバミ,ハシバミ(の実). 薄茶色(の)
heady,酔わせる,せっかちな. 強情な. 頑固な. わがままな. むこうみずな. 性急な. 激しい
heart,心臓,心. 心臓
heath,ヒース,"ヒース(ツツジ科のエリカなど,英国の荒地に生える背の低い植物の総称). (ヒースのおい茂った)荒れ野"
heave,ヒーブ,力をいれて持ちあげる. あえぎ. 胸が波打つこと
heavy,重い,重い
hedge,ヘッジ,保険つなぎ. ヘッジ取引. 行動を妨げる. 生け垣(を作る). 垣根. 境界. 防御物
hefty,高額の,大きな. 圧倒的な. かなりの
Heidi,ハイディ,Heidi. 「アルプスの少女ハイジ」の主人公の名. スイスの作家ヨハンナ･シュピリの児童文学作品. 1880年に執筆
Heinz,ハインツ,ハインツ社. 世界第1位のトマトケチャップ･ピクルス等の食品メーカー. 本社はピッツバーグ
heist,強盗,押し込み. 強盗. 銀行破り. 追いはぎ. 泥棒. 盗品. 強盗する. 強盗を働く. 盗む
Helen,ヘレン,ヘレン(人名)
helix,らせん,らせん. らせん形のもの
Hella,ヘラー,ヘラー. ドイツの自動車部品･照明器具メーカー
hello,こんにちは,こんにちは. やあ. あのう. もしもし
hence,従って,それゆえに. 今から先. 故に. 今後
henna,ヘナ,(植物)ヘンナ(髪を染める染料ができる). 染料(赤褐色)
Henry,ヘンリー,ヘンリー(人名). 2. 誘導係数の実用単位
Herod,ヘロデ王,ヘロデ王. 残虐なユダヤ王として知られる(聖書)
heron,鷺,アオサギ. サギ. (cf. 人名のHerronは別綴り)
